distance_m,distance_earth_radii,earth_solid_angle_sr,earth_hemisphere_fraction,earth_ir_irradiance_w_m2,temperature_equal_area_kirchhoff_k,temperature_sphere_like_k,temperature_mismatch_stress_k
37479104.35761793,5.882766340859822,0.091444705168079,0.01455387684708076,3.478376566452302,88.49958109259045,62.57865392273947,157.37698285402354
37913240.41069802,5.950908869988702,0.08934744871856556,0.01422008811620934,3.3986010597740326,87.98772990071393,62.21672047400517,156.46676841850567
38352405.242235176,6.019840722372496,0.08729863354785332,0.01389400905430882,3.3206681639798084,87.47892459204878,61.85694078994433,155.56197041438793
38796657.102661796,6.089571041070758,0.08529712509921215,0.013575459091067388,3.2445347227651062,86.97314454307774,61.49930028752804,154.66255216729425
39246054.917149,6.160109075050856,0.08334181611408588,0.013264262000812543,3.1701586181941983,86.47036934289214,61.14378453406438,153.768477380926
39700658.293422915,6.231464180414835,0.08143162594153958,0.01296024579260624,3.0974987444328916,85.97057878902098,60.790379244249095,152.87971012964493
40160527.52967076,6.303645821640364,0.07956549986675567,0.012663242603371705,3.0265149822058377,85.47375288338435,60.43907027730429,151.9962148512774
40625723.622538485,6.376663572836051,0.07774240845796956,0.012373088593955028,2.957168173955252,84.97987182836435,60.089843634200086,151.11795634012702
41096308.2752218,6.4505271190114275,0.0759613469312716,0.012089623848030251,2.8894200996792305,84.48891602298967,59.74268545495675,150.24489974019016
41572343.905650124,6.525246257361501,0.07422133453272423,0.01181269227376025,2.8232334534287,84.00086605923093,59.39758201602509,149.37701053856773
42053893.65476578,6.600830898566281,0.07252141393725219,0.011542141508127157,2.758571820442391,83.51570271840086,59.05451972774103,148.51425455906394
42541021.39489863,6.677291068105263,0.0708606506638024,0.011277822823852146,2.695399654900663,83.03340696765892,58.71348513185394,147.65659795597028
43033791.73823857,6.754636907587282,0.06923813250626328,0.01101959103882344,2.633682258278802,82.5539599566128,58.37446489912361,146.80400720802226
43532270.045405366,6.832878676095647,0.06765296897967632,0.010767304427958146,2.5733857582819972,82.07734301401705,58.03744582698575,145.95644911252853
44036522.434117734,6.912026751548852,0.0661042907812747,0.010520824637423876,2.5144770883443064,81.60353764456433,57.70241483728314,145.11389077966487
44546615.78796371,6.992091632077179,0.06459124926589235,0.010280016601147524,2.4569239676742582,81.1325255257632,57.369358974057825,144.27629962692203
45062617.765271656,7.073083937415109,0.06311301593533947,0.010044748459546837,2.4006948818316944,80.66428850490689,57.03826540140774,143.4436433737153
45584596.808084585,7.155014410309933,0.06166878194129467,0.009814891480413257,2.3457590638187686,80.19880859611992,56.70912140139838,142.61589003613264
46112622.151237875,7.2378939179466135,0.06025775760134861,0.009590319981887863,2.2920864756711996,79.7360679774906,56.381914372035126,141.79300792183543
46646763.83154307,7.3217334533892755,0.058879171927779694,0.009370911257463699,2.2396477905338243,79.27604898827657,56.056631825287305,140.9749656250892
47187092.69707725,7.40654413703928,0.0575322721687152,0.009156545502959301,2.188414375207273,78.81873412618944,55.7332613851681,140.16173202193485
47733680.41657994,7.492337218110177,0.05621632336130046,0.008947105745403361,2.1383582731514035,78.3641060447509,55.41179078586509,139.3532762654872
48286599.48895975,7.5791240761198795,0.05493060789652797,0.008742477773775126,2.089452187932255,77.91214755071803,55.09220786991958,138.54956778135636
48845923.25291024,7.666916222399975,0.05367442509539928,0.008542550071548471,2.041669467100085,77.46284160157883,54.774500586455794,137.75057626319415
49411725.89663764,7.755725301622609,0.05244709079608343,0.008347213750986127,1.9949840864856845,77.01617130311266,54.45865698945574,136.95627166835578
49984082.46770072,7.845563093344957,0.05124793695176085,0.008156362489134539,1.949370634903155,76.57211990701425,54.144665236079206,136.16662421367496
50563068.88296565,7.936441513571754,0.05007631123884851,0.007969892465470974,1.904804299247563,76.13067080858018,53.83251358502778,135.3816043713494
51148761.938675225,8.028372616335774,0.04893157667531201,0.0077877023011559965,1.8612608499762833,75.69180754445547,53.52219039495154,134.60118286493395
51741239.32063476,8.12136859529662,0.04781311124877162,0.007609692999844708,1.8187166269628854,75.25551379043587,53.213684122894946,133.82533066543232
52340579.61451686,8.215441785358164,0.04672030755413923,0.007435767890014877,1.7771485257135557,74.8217733593287,52.90698332278429,133.05401898749304
52946862.316284575,8.310604664304595,0.04565257244050934,0.007265832568767894,1.7365339839355267,74.39057019886693,52.60207664395269,132.28721928570013
53560167.84273584,8.406869854455477,0.04460932666704805,0.007099794847061802,1.6968509684477708,73.96188838967568,52.29895282970225,131.52490325095712
54180577.542169504,8.504250124339901,0.043590004567629625,0.006937564696336551,1.658077962424436,73.53571214328964,51.99760071590206,130.76704280696117
54808173.7051759,8.60275839039019,0.04259405372397925,0.006779054196493051,1.6201939529618392,73.11202580022005,51.69800922962142,130.0136101067658
55443039.5755515,8.702407718655078,0.041620934647086265,0.006624177485188509,1.583178418960054,72.69081382806951,51.400167387796806,129.2645775294286
56085259.36133997,8.803211326532722,0.04067012046666037,0.006472850708411859,1.5470113193104345,72.2720608196932,51.10406429593165,128.51991767674116
56734918.2460021,8.905182584523953,0.039741096628405595,0.0063249919723034065,1.5116730813805144,71.8557514914029,50.809689146826365,127.77960337003539
57392102.39971399,9.00833501800565,0.038833360598913826,0.006180521296187181,1.4771445897887365,71.44187068121916,50.51703121934246,127.04360764707542
58056898.990796894,9.112682309024784,0.03794642157794842,0.00603936056677945,1.4434071754602888,71.03040334716054,50.226079877192866,126.3119037590154
58729396.19727859,9.218238298113105,0.03707980021793452,0.005901433493544217,1.410442604957068,70.62133456557618,49.93682456776284,125.58446516743419
59409683.21859,9.325016986123057,0.0362330283504578,0.005766665565164142,1.37823307007423,70.21464952951882,49.649254820959584,124.86126554144246
60097850.28739615,9.433032536084783,0.03540564871957579,0.0056349840070957224,1.3467611776958779,69.81033354715406,49.36336024808736,124.14227875485354
60793988.68156418,9.54229927508463,0.034597214721768674,0.005506317740181177,1.3160099399033014,69.40837204020882,49.07913054075041,123.42747888342458
